OrderID,OrderDate,OrderDate,CustomerID,CustomerName,Region,Country,SalesChannel,ProductCategory,Product,Quantity,UnitPrice,GrossSales,DiscountPct,DiscountAmount,NetSales,ShippingCost,TaxRate,TaxAmount,TotalAmount,PaymentMethod,OrderStatus,SalesRep,CustomerRating,IsReturningCustomer
ORD-107433,13-Apr-23,4/13/2023,CUST-3620,Mia Jackson,Africa,South Africa,Website,Toys & Games,Board Game Classic,7,804.96,5634.72,0.15,845.21,4789.51,11.9,0.19,910.01,5711.42,Credit Card,Delivered,A. Chen,5,FALSE
ORD-112609,19-Sep-24,9/19/2024,CUST-4743,Ava Van Dijk,South America,Brazil,Phone Order,Electronics,Mechanical Keyboard,7,521.91,3653.37,0,0,3653.37,27.53,0.1,365.34,4046.24,Debit Card,Returned,A. Chen,3,TRUE
ORD-109935,11-Jan-24,1/11/2024,CUST-2574,Wei Jackson,Africa,Nigeria,Marketplace - eBay,Electronics,Laptop Stand,1,764.29,764.29,0.1,76.43,687.86,28.99,0.07,48.15,765,Debit Card,Cancelled,R. Silva,0,FALSE
ORD-113815,8-Nov-24,11/8/2024,CUST-4049,Linda Silva,Oceania,Australia,Marketplace - eBay,Electronics,Laptop Stand,10,604.71,6047.1,0.15,907.07,5140.03,4.5,0.07,359.8,5504.33,Debit Card,Delivered,S. Patel,2,FALSE
ORD-109110,20-Feb-24,2/20/2024,CUST-1354,Ana Wilson,Asia,Singapore,Marketplace - Amazon,Home & Kitchen,Air Fryer,8,585.81,4686.48,0.1,468.65,4217.83,26.92,0.19,801.39,5046.14,Debit Card,Processing,K. Tanaka,0,FALSE
ORD-107651,27-Feb-24,2/27/2024,CUST-4146,Robert Silva,Europe,Spain,Website,Toys & Games,Action Figure,1,139.82,139.82,0.2,27.96,111.86,0.17,0.1,11.19,123.22,Credit Card,Delivered,N/A,1,TRUE
ORD-104675,8-Mar-23,3/8/2023,CUST-2454,Fatima Costa,Asia,Singapore,Mobile App,Electronics,Laptop Stand,1,759.55,759.55,0.1,75.95,683.6,8.57,0.19,129.88,822.05,Credit Card,Shipped,R. Silva,5,TRUE
ORD-111239,20-Oct-24,10/20/2024,CUST-2019,Jennifer Van Dijk,Oceania,Australia,Retail Store,Office Supplies,Stapler,4,477.46,1909.84,0.25,477.46,1432.38,25.9,0,0,1458.28,Debit Card,Shipped,J. Rivera,0,TRUE
ORD-110636,9-Nov-24,11/9/2024,CUST-4373,Mateus Garcia,Europe,UK,Website,Books,Business Strategy Book,2,388.34,776.68,0,0,776.68,17.78,0.19,147.57,942.03,PayPal,Delivered,A. Chen,4,FALSE
ORD-101449,25-Apr-23,4/25/2023,CUST-3939,Priya Jackson,Oceania,New Zealand,Phone Order,Sports & Outdoors,Yoga Mat,7,690.5,4833.5,0.25,1208.38,3625.12,0.41,0.05,181.26,3806.79,Bank Transfer,Delivered,M. Okafor,4,FALSE
ORD-107522,28-Jul-24,7/28/2024,CUST-2661,Carlos Van Dijk,South America,Brazil,Phone Order,Home & Kitchen,Coffee Maker,1,716.77,716.77,0.1,71.68,645.09,12.83,0.07,45.16,703.08,Cash on Delivery,Cancelled,S. Patel,1,TRUE
ORD-111122,22-Oct-25,10/22/2025,CUST-4321,Emma Van Dijk,Asia,Singapore,Marketplace - eBay,Toys & Games,Building Blocks Set,9,452.58,4073.22,0.1,407.32,3665.9,29.06,0.19,696.52,4391.48,Cash on Delivery,Delivered,M. Okafor,0,FALSE
ORD-108512,29-Oct-23,10/29/2023,CUST-4609,Michael Davis,North America,Mexico,Mobile App,Books,Business Strategy Book,11,28.68,315.48,0.05,15.77,299.71,22.62,0.1,29.97,352.3,Gift Card,Delivered,L. Novak,5,TRUE
ORD-110008,10-Mar-24,3/10/2024,CUST-3880,Elizabeth Lee,North America,USA,Retail Store,Books,Business Strategy Book,4,507.72,2030.88,0.1,203.09,1827.79,0.64,0.05,91.39,1919.82,Bank Transfer,Delivered,T. Andersson,4,FALSE
ORD-107885,27-Oct-23,10/27/2023,CUST-2387,Priya Kim,North America,USA,Retail Store,Sports & Outdoors,Yoga Mat,10,114.87,1148.7,0,0,1148.7,33.87,0.085,97.64,1280.21,Credit Card,Delivered,M. Okafor,5,TRUE
ORD-114509,15-Dec-24,12/15/2024,CUST-2816,David Okafor,Europe,Italy,Retail Store,Toys & Games,Building Blocks Set,7,817.72,5724.04,0.25,1431.01,4293.03,7.45,0,0,4300.48,Credit Card,Delivered,J. Rivera,1,FALSE
ORD-100150,21-Dec-24,12/21/2024,CUST-3417,Jennifer Kim,Africa,South Africa,Phone Order,Clothing,Wool Socks (3pk),3,285.29,855.87,0.05,42.79,813.08,10.69,0.05,40.65,864.42,PayPal,Delivered,R. Silva,5,TRUE
ORD-112276,29-Aug-25,8/29/2025,CUST-4959,Jessica Wilson,Oceania,Australia,Retail Store,Office Supplies,Notebook A5,8,264.09,2112.72,0,0,2112.72,23.75,0.07,147.89,2284.36,PayPal,Delivered,A. Chen,5,FALSE
ORD-100664,30-Jan-24,1/30/2024,CUST-3557,Priya Okafor,Asia,Singapore,Phone Order,Clothing,Running Shoes,5,507.19,2535.95,0.05,126.8,2409.15,2.71,0.05,120.46,2532.32,Credit Card,Delivered,M. Okafor,3,TRUE
ORD-104355,20-Oct-23,10/20/2023,CUST-3342,Thomas Jackson,South America,Brazil,Marketplace - eBay,Home & Kitchen,Non-Stick Pan Set,11,421.99,4641.89,0.15,696.28,3945.61,10.48,0.19,749.67,4705.76,Credit Card,Delivered,T. Andersson,2,TRUE
ORD-103311,1-Jan-23,1/1/2023,CUST-2712,Priya Thomas,North America,USA,Marketplace - Amazon,Furniture,Monitor Arm,2,422.5,845,0,0,845,17.78,0.1,84.5,947.28,Bank Transfer,Delivered,A. Chen,5,TRUE
ORD-109057,30-Apr-25,4/30/2025,CUST-4032,Hiro Van Dijk,South America,Chile,Mobile App,Office Supplies,Whiteboard Markers,10,793.7,7937,0.15,1190.55,6746.45,24.83,0.085,573.45,7344.73,PayPal,Processing,K. Tanaka,5,TRUE
ORD-113646,20-Jun-24,6/20/2024,CUST-2390,William Okafor,Europe,Italy,Website,Office Supplies,Ballpoint Pens (12pk),8,604.36,4834.88,0.15,725.23,4109.65,33.6,0.085,349.32,4492.57,Credit Card,Delivered,R. Silva,3,FALSE
ORD-100296,21-Feb-25,2/21/2025,CUST-3346,Elizabeth Thomas,Oceania,Australia,Phone Order,Books,Cookbook,5,819.2,4096,0.15,614.4,3481.6,15.72,0.05,174.08,3671.4,Debit Card,Delivered,N/A,2,TRUE
ORD-107106,3-Jun-24,6/3/2024,CUST-1401,Carlos Wilson,Asia,China,Mobile App,Sports & Outdoors,Hiking Backpack,3,117.26,351.78,0.1,35.18,316.6,20.05,0.05,15.83,352.48,Bank Transfer,Delivered,R. Silva,5,TRUE
ORD-114185,30-Dec-24,12/30/2024,CUST-4214,John Jones,Africa,Nigeria,Phone Order,Home & Kitchen,Electric Kettle,5,823.81,4119.05,0.15,617.86,3501.19,34.66,0.2,700.24,4236.09,Bank Transfer,Cancelled,T. Andersson,4,TRUE
ORD-113719,25-Mar-23,3/25/2023,CUST-4337,Mia Silva,Europe,Germany,Marketplace - eBay,Home & Kitchen,Coffee Maker,11,294.1,3235.1,0.05,161.75,3073.35,20.78,0.05,153.67,3247.8,Bank Transfer,Cancelled,S. Patel,3,TRUE
ORD-107514,20-Dec-24,12/20/2024,CUST-3361,Raj Smith,North America,Mexico,Website,Toys & Games,Remote Control Car,3,524.91,1574.73,0.1,157.47,1417.26,15.11,0.085,120.47,1552.84,Bank Transfer,Delivered,S. Patel,2,FALSE
ORD-101459,1-Aug-24,8/1/2024,CUST-2917,Emma Wilson,South America,Argentina,Marketplace - eBay,Furniture,Ergonomic Office Chair,9,43.76,393.84,0.15,59.08,334.76,18.88,0.07,23.43,377.07,Bank Transfer,Delivered,S. Patel,0,TRUE
ORD-105250,17-Feb-24,2/17/2024,CUST-4431,Li Costa,Oceania,New Zealand,Marketplace - Amazon,Books,Fiction Novel,11,625.86,6884.46,0.2,1376.89,5507.57,12.81,0.19,1046.44,6566.82,Credit Card,Shipped,N/A,5,TRUE
ORD-111353,23-Aug-23,8/23/2023,CUST-4540,Linda Costa,Oceania,Australia,Marketplace - eBay,Sports & Outdoors,Hiking Backpack,11,9.83,108.13,0.2,21.63,86.5,34.99,0.085,7.35,128.84,Bank Transfer,Cancelled,L. Novak,1,FALSE
ORD-113923,3-May-23,5/3/2023,CUST-2630,Barbara Brown,Asia,Japan,Website,Electronics,USB-C Hub,4,276.97,1107.88,0.2,221.58,886.3,6.44,0.05,44.31,937.05,Credit Card,Shipped,R. Silva,4,TRUE
ORD-108053,12-Dec-24,12/12/2024,CUST-1397,John Taylor,South America,Chile,Marketplace - eBay,Home & Kitchen,Stainless Steel Water Bottle,1,623.28,623.28,0,0,623.28,4.85,0.19,118.42,746.55,PayPal,Delivered,R. Silva,2,TRUE
ORD-114956,3-Dec-24,12/3/2024,CUST-1088,Robert Martin,Africa,Egypt,Marketplace - Amazon,Sports & Outdoors,Resistance Bands,12,176.44,2117.28,0.2,423.46,1693.82,20.67,0.19,321.83,2036.32,Gift Card,Delivered,M. Okafor,4,FALSE
ORD-112200,28-Dec-25,12/28/2025,CUST-3470,Olivia Smith,Oceania,New Zealand,Mobile App,Clothing,Denim Jeans,7,690.95,4836.65,0,0,4836.65,11.54,0.1,483.66,5331.85,Gift Card,Shipped,T. Andersson,4,TRUE
ORD-106932,23-May-25,5/23/2025,CUST-3073,Mary Brown,Oceania,New Zealand,Phone Order,Sports & Outdoors,Resistance Bands,9,169.74,1527.66,0.25,381.92,1145.74,2.85,0,0,1148.59,Gift Card,Delivered,T. Andersson,4,FALSE
ORD-107571,29-Dec-24,12/29/2024,CUST-3874,Robert Van Dijk,Africa,Egypt,Phone Order,Office Supplies,Stapler,7,785.12,5495.84,0,0,5495.84,25.43,0.19,1044.21,6565.48,Cash on Delivery,Returned,J. Rivera,2,FALSE
ORD-110956,13-Dec-25,12/13/2025,CUST-1425,Barbara Lee,South America,Argentina,Marketplace - Amazon,Home & Kitchen,Air Fryer,5,791.79,3958.95,0,0,3958.95,31.64,0.07,277.13,4267.72,Cash on Delivery,Delivered,L. Novak,0,TRUE
ORD-100663,18-May-23,5/18/2023,CUST-1384,Sophia Moore,Asia,China,Phone Order,Home & Kitchen,Air Fryer,6,89.76,538.56,0.25,134.64,403.92,20.81,0,0,424.73,PayPal,Delivered,S. Patel,4,TRUE
ORD-101412,9-Aug-24,8/9/2024,CUST-2426,Charles Van Dijk,Europe,Netherlands,Marketplace - Amazon,Furniture,Ergonomic Office Chair,1,73.13,73.13,0.05,3.66,69.47,2.88,0.07,4.86,77.21,Debit Card,Delivered,R. Silva,1,FALSE
ORD-114349,15-Apr-24,4/15/2024,CUST-1258,Susan Jackson,South America,Argentina,Website,Clothing,Cotton T-Shirt,5,647.01,3235.05,0.1,323.51,2911.54,0.61,0.1,291.15,3203.3,Gift Card,Shipped,N/A,5,TRUE
ORD-108336,29-Jan-23,1/29/2023,CUST-4176,Linda Williams,South America,Brazil,Marketplace - eBay,Books,Children's Storybook,9,248.13,2233.17,0.2,446.63,1786.54,31.94,0.07,125.06,1943.54,Bank Transfer,Shipped,T. Andersson,5,FALSE
ORD-110415,8-Feb-24,2/8/2024,CUST-4666,Charles Perez,Oceania,Australia,Retail Store,Books,Fiction Novel,10,781.11,7811.1,0,0,7811.1,24.58,0.085,663.94,8499.62,PayPal,Delivered,A. Chen,0,FALSE
ORD-114599,20-Jul-24,7/20/2024,CUST-2450,Karen Costa,Oceania,Australia,Marketplace - eBay,Books,Fiction Novel,4,837.1,3348.4,0,0,3348.4,22.4,0.07,234.39,3605.19,Bank Transfer,Delivered,L. Novak,0,TRUE
ORD-106095,21-Aug-25,8/21/2025,CUST-4720,Yuki Rodriguez,Europe,France,Website,Electronics,Noise Cancelling Headphones,11,600.09,6600.99,0.05,330.05,6270.94,32.03,0.1,627.09,6930.06,Bank Transfer,Cancelled,K. Tanaka,4,TRUE
ORD-105213,1-Apr-24,4/1/2024,CUST-2807,Emma Martinez,Oceania,Australia,Mobile App,Books,Cookbook,1,693.61,693.61,0,0,693.61,21.27,0.07,48.55,763.43,Debit Card,Delivered,M. Okafor,1,TRUE
ORD-102457,24-Apr-25,4/24/2025,CUST-2644,Hiro Jackson,North America,USA,Marketplace - eBay,Home & Kitchen,Electric Kettle,5,579.07,2895.35,0,0,2895.35,19.58,0.07,202.67,3117.6,Debit Card,Shipped,A. Chen,3,TRUE
ORD-111712,9-Aug-24,8/9/2024,CUST-3589,James Davis,Africa,Egypt,Phone Order,Toys & Games,Action Figure,1,685.91,685.91,0.25,171.48,514.43,26.9,0.2,102.89,644.22,Credit Card,Delivered,N/A,5,TRUE
ORD-109511,7-May-23,5/7/2023,CUST-1819,Karen Van Dijk,Asia,China,Website,Office Supplies,Ballpoint Pens (12pk),3,803.7,2411.1,0,0,2411.1,13.62,0.07,168.78,2593.5,PayPal,Delivered,K. Tanaka,0,FALSE
ORD-100101,26-Oct-25,10/26/2025,CUST-3698,Mateus Costa,Europe,Italy,Website,Furniture,Standing Desk,10,307.16,3071.6,0,0,3071.6,28.88,0,0,3100.48,Credit Card,Cancelled,L. Novak,2,FALSE
ORD-112717,2-Oct-24,10/2/2024,CUST-2343,Mary Nguyen,South America,Argentina,Marketplace - eBay,Electronics,Laptop Stand,11,820.52,9025.72,0,0,9025.72,9.61,0.07,631.8,9667.13,Credit Card,Delivered,T. Andersson,3,FALSE
ORD-100022,11-Apr-24,4/11/2024,CUST-2344,Sarah Andersson,North America,Mexico,Phone Order,Home & Kitchen,Blender,2,870.36,1740.72,0.1,174.07,1566.65,12.29,0.1,156.67,1735.61,Bank Transfer,Returned,N/A,4,TRUE
ORD-106248,17-Aug-23,8/17/2023,CUST-3343,Olivia Rodriguez,South America,Chile,Website,Toys & Games,Building Blocks Set,10,290.05,2900.5,0.05,145.03,2755.47,33.14,0,0,2788.61,Debit Card,Delivered,S. Patel,5,TRUE
ORD-114179,26-Dec-25,12/26/2025,CUST-4780,Thomas Perez,North America,USA,Phone Order,Office Supplies,Desk Organizer,7,661.76,4632.32,0,0,4632.32,29.22,0.07,324.26,4985.8,Cash on Delivery,Delivered,L. Novak,4,TRUE
ORD-107712,31-May-25,5/31/2025,CUST-3481,Richard Brown,South America,Brazil,Marketplace - Amazon,Sports & Outdoors,Water Bottle Insulated,9,80.2,721.8,0,0,721.8,27.26,0.2,144.36,893.42,Bank Transfer,Delivered,N/A,5,TRUE
ORD-112671,3-Sep-25,9/3/2025,CUST-1987,Olivia Rodriguez,Asia,China,Website,Books,Business Strategy Book,9,278.98,2510.82,0.15,376.62,2134.2,29.58,0,0,2163.78,Cash on Delivery,Delivered,T. Andersson,1,TRUE
ORD-109402,8-Oct-23,10/8/2023,CUST-2271,Linda Martin,South America,Brazil,Phone Order,Furniture,Monitor Arm,3,449.35,1348.05,0,0,1348.05,10.94,0.085,114.58,1473.57,Cash on Delivery,Shipped,M. Okafor,2,TRUE
ORD-111748,16-Aug-25,8/16/2025,CUST-4791,Yuki Okafor,Oceania,Australia,Marketplace - Amazon,Books,Business Strategy Book,5,751.17,3755.85,0,0,3755.85,0.54,0,0,3756.39,Credit Card,Delivered,S. Patel,1,FALSE
ORD-111870,1-Feb-24,2/1/2024,CUST-1937,Ana Martinez,South America,Brazil,Marketplace - Amazon,Toys & Games,Board Game Classic,4,433.37,1733.48,0.05,86.67,1646.81,1.16,0.07,115.28,1763.25,Gift Card,Returned,M. Okafor,3,FALSE
ORD-113601,30-Jan-25,1/30/2025,CUST-2870,James Wilson,Asia,Japan,Marketplace - eBay,Clothing,Denim Jeans,10,430.58,4305.8,0.15,645.87,3659.93,19.36,0.07,256.2,3935.49,Cash on Delivery,Delivered,J. Rivera,4,TRUE
ORD-108762,15-Mar-23,3/15/2023,CUST-3213,Mateus Smith,Africa,Nigeria,Retail Store,Office Supplies,Ballpoint Pens (12pk),12,814.73,9776.76,0.05,488.84,9287.92,27.53,0.2,1857.58,11173.03,Bank Transfer,Delivered,M. Okafor,0,TRUE
ORD-107499,13-Jan-24,1/13/2024,CUST-2726,Sarah Dubois,Asia,India,Website,Sports & Outdoors,Yoga Mat,10,413.12,4131.2,0.2,826.24,3304.96,30.3,0.05,165.25,3500.51,Cash on Delivery,Delivered,M. Okafor,1,FALSE
ORD-100155,1-Jul-24,7/1/2024,CUST-4763,Patricia Rodriguez,Oceania,Australia,Mobile App,Furniture,Filing Cabinet,11,118.55,1304.05,0,0,1304.05,8.74,0.19,247.77,1560.56,PayPal,Shipped,R. Silva,5,TRUE
ORD-101110,15-May-24,5/15/2024,CUST-3368,Fatima Martinez,Europe,Netherlands,Retail Store,Clothing,Running Shoes,4,519.54,2078.16,0.1,207.82,1870.34,30.7,0.07,130.92,2031.96,Credit Card,Shipped,N/A,1,TRUE
